,0
0,USA
1,India
2,Brazil
3,France
4,Turkey
5,Russia
6,UK
7,Italy
8,Argentina
9,Colombia
10,Spain
11,Germany
12,Iran
13,Poland
14,Mexico
15,Ukraine
16,Peru
17,Indonesia
18,South Africa
19,Netherlands
20,Czechia
21,Chile
22,Canada
23,Philippines
24,Iraq
25,Sweden
26,Romania
27,Belgium
28,Pakistan
29,Portugal
30,Bangladesh
31,Israel
32,Hungary
33,Japan
34,Jordan
35,Serbia
36,Switzerland
37,Malaysia
38,Austria
39,Nepal
40,UAE
41,Lebanon
42,Morocco
43,Saudi Arabia
44,Ecuador
45,Bulgaria
46,Greece
47,Bolivia
48,Belarus
49,Kazakhstan
50,Paraguay
51,Slovakia
52,Panama
53,Tunisia
54,Croatia
55,Georgia
56,Costa Rica
57,Uruguay
58,Azerbaijan
59,Kuwait
60,Palestine
61,Dominican Republic
62,Denmark
63,Lithuania
64,Guatemala
65,Egypt
66,Ethiopia
67,Ireland
68,Bahrain
69,Slovenia
70,Moldova
71,Venezuela
72,Honduras
73,Oman
74,Sri Lanka
75,Armenia
76,Qatar
77,Thailand
78,Bosnia and Herzegovina
79,Libya
80,Kenya
81,Nigeria
82,Cuba
83,North Macedonia
84,S. Korea
85,Myanmar
86,Latvia
87,Algeria
88,Albania
89,Estonia
90,Norway
91,Zambia
92,Kyrgyzstan
93,Uzbekistan
94,Montenegro
95,Afghanistan
96,Ghana
97,Finland
98,China
99,Mongolia
100,Cameroon
101,El Salvador
102,Cyprus
103,Mozambique
104,Maldives
105,Luxembourg
106,Namibia
107,Uganda
108,Singapore
109,Botswana
110,Jamaica
111,Ivory Coast
112,Senegal
113,Madagascar
114,Cambodia
115,Zimbabwe
116,Angola
117,Sudan
118,DRC
119,Malawi
120,Cabo Verde
121,Malta
122,Australia
123,Trinidad and Tobago
124,Rwanda
125,Réunion
126,French Guiana
127,Syria
128,Gabon
129,Guinea
130,Mauritania
131,Mayotte
132,Suriname
133,French Polynesia
134,Eswatini
135,Guyana
136,Haiti
137,Papua New Guinea
138,Guadeloupe
139,Somalia
140,Mali
141,Andorra
142,Togo
143,Seychelles
144,Taiwan
145,Burkina Faso
146,Tajikistan
147,Belize
148,Curaçao
149,Bahamas
150,Martinique
151,Congo
152,Vietnam
153,Hong Kong
